Timestamp,Email Address,First & Last Name,What is your highest level of completed education?,What degree(s) have you completed
1/21/2026 08:07:00,mentor01@sample.edu,Mentor 01,PHD,Computer Engineering (B.S. or M.S)
1/21/2026 08:14:00,mentor02@sample.edu,Mentor 02,PHD,Computer Engineering (B.S. or M.S)
1/21/2026 08:21:00,mentor03@sample.edu,Mentor 03,PHD,"Cybersecurity (M.S), Electrical Engineering (B.S. or M.S)"
1/21/2026 08:28:00,mentor04@sample.edu,Mentor 04,Masters,"Cybersecurity (M.S), Computer Networking (M.S.)"
1/21/2026 08:35:00,mentor05@sample.edu,Mentor 05,Masters,"Electrical Power Systems (M.S), Computer Networking (M.S.)"
1/21/2026 08:42:00,mentor06@sample.edu,Mentor 06,PHD,"Cybersecurity (M.S), Computer Engineering (B.S. or M.S)"
1/21/2026 08:49:00,mentor07@sample.edu,Mentor 07,Masters,Computer Engineering (B.S. or M.S)
1/21/2026 08:56:00,mentor08@sample.edu,Mentor 08,Masters,Computer Engineering (B.S. or M.S)
1/21/2026 09:03:00,mentor09@sample.edu,Mentor 09,Masters,"Electrical Power Systems (M.S), Computer Engineering (B.S. or M.S)"
1/21/2026 09:10:00,mentor10@sample.edu,Mentor 10,PHD,"Electrical Engineering (B.S. or M.S), Computer Engineering (B.S. or M.S)"
1/21/2026 09:17:00,mentor11@sample.edu,Mentor 11,PHD,"Computer Networking (M.S.), Electrical Power Systems (M.S), Electrical Engineering (B.S. or M.S)"
1/21/2026 09:24:00,mentor12@sample.edu,Mentor 12,Masters,"Electrical Power Systems (M.S), Cybersecurity (M.S)"
1/21/2026 09:31:00,mentor13@sample.edu,Mentor 13,PHD,"Cybersecurity (M.S), Electrical Engineering (B.S. or M.S)"
1/21/2026 09:38:00,mentor14@sample.edu,Mentor 14,PHD,"Cybersecurity (M.S), Electrical Engineering (B.S. or M.S), Electrical Power Systems (M.S)"
1/21/2026 09:45:00,mentor15@sample.edu,Mentor 15,Masters,Cybersecurity (M.S)
1/21/2026 09:52:00,mentor16@sample.edu,Mentor 16,Masters,Computer Networking (M.S.)
1/21/2026 09:59:00,mentor17@sample.edu,Mentor 17,Masters,Electrical Engineering (B.S. or M.S)
1/21/2026 10:06:00,mentor18@sample.edu,Mentor 18,Masters,"Electrical Engineering (B.S. or M.S), Computer Networking (M.S.), Cybersecurity (M.S)"
1/21/2026 10:13:00,mentor19@sample.edu,Mentor 19,Masters,Computer Engineering (B.S. or M.S)
1/21/2026 10:20:00,mentor20@sample.edu,Mentor 20,PHD,Computer Networking (M.S.)
